,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
1899,drumpf,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,22:40:34,0,0
1900,howard hughes,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1901,trump.i've,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:55,0,0
1902,teen-sexting anthony weiner,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,22:40:36,0,0
1903,vodka,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1904,bho,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,22:40:56,0,0
1905,apprarently anthony weiner,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22:40:49,0,0
1906,suddenly air force one,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1907,jared,73,1,73,0,0,0,0,0,0,0,3,0,0,0,0,0,22:40:29,0,0
1908,jared fogle,9,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,22:40:51,0,0
1909,jared kushner,28,1,28,5,0,0,0,0,0,0,0,1,0,0,0,0,22:40:30,0,7
1910,jared kushner at senate intel committee,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1911,jared kushner trump,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1912,jared kushner on air force one,5,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1913,jared on a 13-hour,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:31,0,0
1914,jared on air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1915,clue,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1916,30 000ft,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22:40:34,0,0
1917,inquiry,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:43,0,0
1918,russia,88,1,88,0,1,1,1,0,0,0,0,2,0,0,0,0,22:40:29,0,1
1919,russia on air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1920,american,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1921,american press,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1922,bye bitch,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1923,chucky schumer,18,1,18,0,0,0,0,0,0,0,18,0,0,0,0,0,22:40:42,0,0
1924,africa,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1925,🍕anthony weiner,2,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,22:40:46,0,0
